zid,name,tags,website,physical_address,phone,opening_hours,country_code,longitude,latitude,gisprecision,correctly_placed,created_at,updated_at,updated_by,facebook_page,categories,region_1,region_2,region_3
1032193,BP Connect Cavendish,"Service station, ATM, Wifi, Toilet, Swappa Bottle LPG, AA Smartfuel, BP Autogas (LPG), Wild Bean Cafe, Autogas, BP Ultimate Diesel, Ultimate 98, Unleaded 91",http://www.bp.co.nz,"13 Cavendish Drive, Manukau City, Auckland",09 263 4390,Mon-Sun 5.30am-10pm (except Sat),NZ,174.867882,-36.990431,number,1,2006-09-01T12:51:33Z,2014-11-24T02:09:30Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Auckland,Auckland,Manukau
1032200,BP 2go Blenheim,"Service station, Carwash, Trailer Hire, Toilet, Cashpoint, AA Smartfuel, BP Autogas (LPG), Swappa Bottle LPG, Autogas, Ultimate 98, Unleaded 91, Diesel",http://www.bp.co.nz,"14 Main Street, Blenheim",03 578 8714,"",NZ,173.958979,-41.513872,manual,1,2006-09-01T12:51:33Z,2014-11-20T07:48:31Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Marlborough,Blenheim,Blenheim
1032221,BP Connect Melling,"Service station, Carwash, Wifi, Toilet, Trailer hire, Swappa Bottle LPG, AA Smartfuel, Wild Bean Cafe, Autogas, BP Ultimate Diesel, Ultimate 98, Unleaded 91, Unleaded 95, ATM",http://www.bp.co.nz,"17 Melling Road, Lower Hutt, Wellington",04 920 7500,24 hours,NZ,174.911565,-41.204546,manual,1,2006-09-01T12:51:34Z,2014-11-20T22:34:30Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Wellington,Lower Hutt,Hutt Central
1032235,BP Takaka,"Service station, Toilet, Workshop, AA Smartfuel, BP Autogas (LPG), Autogas, Unleaded 91, Unleaded 95, Diesel",http://www.bp.co.nz,"20 Commercial Street, Takaka",03 525 9985,Mon-Fri 8am-5pm,NZ,172.806213,-40.859968,number,1,2006-09-01T12:51:34Z,2014-11-20T07:57:29Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Tasman,Takaka,Takaka
1032249,BP 2go Greenmeadows,"Service station, Trailer Hire, Toilet, Workshop, AA Smartfuel, BP Autogas (LPG), BP Ultimate Diesel, Unleaded 91, Unleaded 95",http://www.bp.co.nz,"22 Gloucester Street, Greenmeadows, Napier",06 844 7900,"",NZ,176.862121,-39.525908,manual,1,2006-09-01T12:51:35Z,2014-11-24T07:25:59Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Hawke's Bay,Napier,Greenmeadows
1032263,BP 2go Te Puke,"Service station, Trailer Hire, Toilet, Workshop, Road User Charges, AA Smartfuel, BP Ultimate Diesel, Unleaded 91, Unleaded 95",http://www.bp.co.nz,"25 Jellicoe Street, Te Puke",07 573 7833,"",NZ,176.329926,-37.785653,manual,1,2006-09-01T12:51:35Z,2014-11-24T04:43:10Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Bay of Plenty,Te Puke,Te Puke
1032277,BP 2go Putaruru,"Service station, Trailer Hire, Toilet, Road User Charges, Swappa Bottle LPG, AA Smartfuel, BP Autogas (LPG), Autogas, BP Ultimate Diesel, Unleaded 91, Unleaded 95",http://www.bp.co.nz,"35 Tirau Street, Putaruru",07 883 8399,"",NZ,175.780695,-38.049311,number,1,2006-09-01T12:51:35Z,2014-11-24T04:55:21Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Waikato,Putaruru,Putaruru
1032284,BP 2go Berhampore,"Service station, Trailer Hire, Toilet, AA Smartfuel, Swappa Bottle LPG, BP Autogas (LPG), BP Ultimate Diesel, Unleaded 91, Unleaded 95",http://www.bp.co.nz,"36 Luxford Street, Berhampore, Wellington",04 389 8657,"",NZ,174.775616,-41.319725,number,1,2006-09-01T12:51:36Z,2014-11-20T21:30:39Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Wellington,Wellington,Berhampore
1032312,BP Connect Wylies,"Service station, Carwash, ATM, Wifi, Trailer Hire, Toilet, Road User Charges, AA Smartfuel, Wild Bean Cafe, BP Ultimate Diesel, Unleaded 95, Unleaded 91",http://www.bp.co.nz,"49 Maunu Road, Whangarei",09 430 7742,24 hours,NZ,174.311849,-35.731056,number,1,2006-09-01T12:51:36Z,2014-11-21T04:01:56Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Northland,Whangarei,Woodhill
1032319,BP 2go Motor Centre,"Service station, Trailer Hire, Toilet, AA Smartfuel, Swappa Bottle LPG, BP Autogas (LPG), Autogas, BP Ultimate Diesel, Unleaded 91, Unleaded 95",http://www.bp.co.nz,"50 Northcote Road, Northcote, Auckland",09 418 0371,"",NZ,174.746699,-36.79322,manual,1,2006-09-01T12:51:36Z,2014-11-21T04:51:02Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Auckland,Auckland,Northcote
1032326,BP North Road,"Service station, Toilet, Workshop, AA Smartfuel, BP Autogas (LPG), Autogas, Diesel, Unleaded 91, Unleaded 95",http://www.bp.co.nz,"52 North Road, Invercargill",03 215 6119,"",NZ,168.347023,-46.387363,number,1,2006-09-01T12:51:37Z,2014-11-25T00:09:28Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Southland,Invercargill,Prestonville
1032347,BP 2go Wanaka,"Service station, Trailer Hire, Toilet, Road User Charges, AA Smartfuel, Swappa Bottle LPG, BP Autogas (LPG), Autogas, Diesel, Unleaded 91",http://www.bp.co.nz,"59 Ardmore Street, Wanaka",03 443 7280,"Mon-Fri 7.30am-5pm, Sat 8am-12pm",NZ,169.138144,-44.69413,number,1,2006-09-01T12:51:37Z,2014-11-24T08:17:40Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Otago,Wanaka,Wanaka
1032354,BP Connect Levin,"Service station, Carwash, ATM, Wifi, Trailer Hire, Toilet, Road User Charges, Swappa Bottle LPG, AA Smartfuel, BP Autogas (LPG), Wild Bean Cafe, Autogas, BP Ultimate Diesel, Unleaded 95, Unleaded 91",http://www.bp.co.nz,"59 Oxford Street, Levin",06 367 6528,"",NZ,175.278711,-40.629767,manual,1,2006-09-01T12:51:37Z,2014-11-21T00:22:00Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Manawatu-Wanganui,Levin,Levin
1032361,BP 2go Carlyle Street,"Service station, Carwash, Trailer Hire, Toilet, AA Smartfuel, BP Autogas (LPG), Autogas, BP Ultimate Diesel, Unleaded 95, Unleaded 91",http://www.bp.co.nz,"60 Carlyle Street, Napier",06 835 0715,"",NZ,176.909428,-39.49263,number,1,2006-09-01T12:51:38Z,2014-11-24T07:24:04Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Hawke's Bay,Napier,Napier South
1032368,BP Grant Ward,"Service station, Carwash, Trailer Hire, Toilet, AA Smartfuel, Diesel, Unleaded 95, Unleaded 91",http://www.bp.co.nz,"63 Centennial Avenue, Alexandra",03 448 8122,"",NZ,169.388533,-45.251393,number,1,2006-09-01T12:51:38Z,2014-11-24T08:31:29Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Otago,Alexandra,Alexandra
1032375,BP 2go Waitara,"Service station, Trailer Hire, Toilet, AA Smartfuel, Swappa Bottle LPG, BP Autogas (LPG), Autogas, Ultimate 98, Unleaded 91, Diesel",http://www.bp.co.nz,"66 McLean Street & Browne Street, Waitara",06 754 7718,"",NZ,174.234457,-39.002513,number,1,2006-09-01T12:51:38Z,2014-11-21T02:45:30Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Taranaki,Waitara,Waitara
1032382,BP 2go Onewa Road,"Service station, Toilet, AA Smartfuel, Swappa Bottle LPG, BP Autogas (LPG), BP Ultimate Diesel, Unleaded 91, Ultimate 98",http://www.bp.co.nz,"46 Onewa Road, Northcote, Auckland",09 480 4940,"",NZ,174.743897,-36.810951,number,1,2006-09-01T12:51:38Z,2014-11-25T02:01:05Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Auckland,Auckland,Northcote
1032403,BP Connect Fairy Springs,"Service station, Carwash, ATM, Wifi, Toilet, Swappa Bottle LPG, AA Smartfuel, Wild Bean Cafe, BP Ultimate Diesel, Unleaded 95, Unleaded 91",http://www.bp.co.nz,"72 Fairy Springs Road, Rotorua",07 343 7963,24 hours,NZ,176.227132,-38.117637,manual,1,2006-09-01T12:51:39Z,2014-11-24T05:48:17Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Bay of Plenty,Rotorua,Fairy Springs
1032410,BP Connect Mana,"Service station, Carwash, ATM, Toilet, Road User Charges, Swappa Bottle LPG, AA Smartfuel, Wild Bean Cafe, BP Ultimate Diesel, Ultimate 98, Unleaded 91",http://www.bp.co.nz,"71 Mana Esplanade, Mana, Porirua",04 233 2581,Mon-Sun 6am-10pm,NZ,174.869136,-41.096217,number,1,2006-09-01T12:51:39Z,2014-11-20T22:33:44Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Wellington,Porirua,Paremata
1032417,BP 2go Alco Motors,"Service station, Trailer Hire, Toilet, Workshop, AA Smartfuel, BP Autogas (LPG), Autogas, BP Ultimate Diesel, Unleaded 91, Unleaded 95, Dump station",http://www.bp.co.nz,"72 Gordon Road, Mosgiel",03 489 7139,"",NZ,170.350213,-45.878855,number,1,2006-09-01T12:51:39Z,2014-11-25T00:37:48Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Otago,Mosgiel,Mosgiel
1032424,BP 2go Autoworld,"Service station, Trailer Hire, Toilet, Workshop, AA Smartfuel, BP Autogas (LPG), Autogas, BP Ultimate Diesel, Unleaded 91, Ultimate 98",http://www.bp.co.nz,"74 Wansbeck Street, Oamaru",03 434 7521,"",NZ,170.954258,-45.102142,number,1,2006-09-01T12:51:39Z,2014-11-25T01:04:00Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Otago,Oamaru,Oamaru
1032431,BP 2go Ohakune,"Ohakune Tyres & Energy Centre Ltd. Service station, Trailer Hire, Toilet, Workshop, AA Smartfuel, BP Autogas (LPG), Autogas, BP Ultimate Diesel, Unleaded 91, Unleaded 95, Firestone",http://www.bp.co.nz,"74 Clyde Street, Ohakune",06 385 9104,"",NZ,175.399793,-39.418834,manual,1,2006-09-01T12:51:39Z,2014-12-07T21:39:19Z,zenbu,https://www.facebook.com/bp,GasStation TireShop,Manawatu-Wanganui,Ohakune,Ohakune
1032438,BP 2go Taupo Quay,"Service station, Carwash, Road User Charges, Trailer Hire, Toilet, Swappa Bottle LPG, AA Smartfuel, BP Autogas (LPG), Wild Bean Cafe, Autogas, BP Ultimate Diesel, Unleaded 95, Unleaded 91",http://www.bp.co.nz,"75 Taupo Quay, Wanganui",06 348 4833,"",NZ,175.052671,-39.937847,manual,1,2006-09-01T12:51:40Z,2014-11-21T00:53:56Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Manawatu-Wanganui,Wanganui,Wanganui
1032445,BP 2go Balclutha,"Service station, Trailer Hire, Toilet, Workshop, AA Smartfuel, BP Autogas (LPG), Autogas, BP Ultimate Diesel, Unleaded 91, Unleaded 95",http://www.bp.co.nz,"79 Clyde Street, Balclutha",03 418 0034,"",NZ,169.736597,-46.239201,manual,1,2006-09-01T12:51:40Z,2014-11-25T00:25:18Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Otago,Balclutha,Balclutha
1032459,BP 2go Kaikoura,"Service station, Carwash, Workshop, Toilet, Road User Charges, AA Smartfuel, BP Autogas (LPG), Autogas, BP Ultimate Diesel, Unleaded 91, Ultimate 98",http://www.bp.co.nz,"84 Beach Road, Kaikoura",03 319 5036,"",NZ,173.679423,-42.392323,manual,1,2006-09-01T12:51:40Z,2014-11-20T07:50:59Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Canterbury,Kaikoura,Kaikoura
1032480,BP 2go Station Road,"Service station, Toilet, Swappa Bottle LPG, AA Smartfuel, BP Autogas (LPG), Autogas, BP Ultimate Diesel, Unleaded 95, Unleaded 91",http://www.bp.co.nz,"96 Station Road, Papatoetoe, Auckland",09 279 5880,"",NZ,174.84233,-36.974026,number,1,2006-09-01T12:51:41Z,2014-11-24T01:52:11Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Auckland,Auckland,Papatoetoe
1032494,BP Connect Tristram Street,"Service station, Carwash, ATM, Wifi, Toilet, Swappa Bottle LPG, AA Smartfuel, Wild Bean Cafe, BP Ultimate Diesel, Ultimate 98, Unleaded 91",http://www.bp.co.nz,"100 Tristram Street, Hamilton",07 834 7780,24hrs,NZ,175.28016,-37.791108,manual,1,2006-09-01T12:51:41Z,2014-11-24T05:06:19Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Waikato,Hamilton,Hamilton Central
1032501,BP 2go Thames,"Service station, Road User Charges, Toilet, Workshop, AA Smartfuel, Swappa Bottle LPG, BP Autogas (LPG), Autogas, BP Ultimate Diesel, Unleaded 91, Unleaded 95",http://www.bp.co.nz,113 Banks St. Thames,07 868 6285,24 hours,NZ,175.549925,-37.147773,manual,1,2006-09-01T12:51:41Z,2014-11-21T05:02:08Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Waikato,Thames,Thames
1032508,BP 2go Newlands,"Service station, Trailer Hire, Toilet, Workshop, AA Smartfuel, BP Ultimate Diesel, Unleaded 91, Unleaded 95",http://www.bp.co.nz,"101 Newlands Road, Newlands, Wellington",04 461 6410,"",NZ,174.817692,-41.229728,number,1,2006-09-01T12:51:41Z,2014-11-20T21:46:10Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Wellington,Wellington,Newlands
1032522,BP Connect Fanshawe Street,"Service station, Toilet, Wifi, Road User Charges, Trailer Hire, Swappa Bottle LPG, Wild Bean Cafe, AA Smartfuel, BP Ultimate Diesel, Unleaded 91, Ultimate 98",http://www.bp.co.nz,"104 Fanshawe Street, Auckland",09 373 0910,24 hours,NZ,174.75888,-36.846043,manual,1,2006-09-01T12:51:42Z,2014-11-24T00:12:11Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Auckland,Auckland,Auckland Central
1032536,BP Connect Johnsonville,"Service station, Carwash, Wifi, Toilet, Swappa Bottle LPG, AA Smartfuel, BP Autogas (LPG), Wild Bean Cafe, Autogas, BP Ultimate Diesel, Ultimate 98, Unleaded 91",http://www.bp.co.nz,"117 Johnsonville Road, Johnsonville, Wellington",04 477 5480,Mon-Sun 6am-10pm,NZ,174.807335,-41.225705,manual,1,2006-09-01T12:51:42Z,2014-11-20T21:43:36Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Wellington,Wellington,Johnsonville
1032543,BP Connect Riverside,"Service station, Carwash, ATM, Wifi, Trailer Hire, Toilet, Swappa Bottle LPG, AA Smartfuel, Wild Bean Cafe, BP Ultimate Diesel, Unleaded 95, Unleaded 91",http://www.bp.co.nz,"121 Riverside Drive, Whangarei",09 459 6681,"",NZ,174.338602,-35.72903,manual,1,2006-09-01T12:51:42Z,2014-11-21T04:05:25Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Northland,Whangarei,Parahaki
1032550,BP 2go Dargaville,"Hungry As, Service station, Road User Charges, Toilet, AA Driver & Vehicle Licensing, Repco Authorised Stockist, AA Smartfuel, LPG Bottle Swap, BP Unleaded 91, BP Unleaded 95, BP Ultimate Diesel",http://number8retailgroup.squarespace.com,"123 Victoria Street, Dargaville",09 439 7259,"",NZ,173.871679,-35.940053,number,1,2006-09-01T12:51:42Z,2017-07-18T06:57:22Z,Number8BP,"",GasStation,Northland,Dargaville,Dargaville
1032557,BP 2go Bader Drive,"Service station, Trailer Hire, Toilet, Workshop, AA Smartfuel, Swappa Bottle LPG, Autogas, BP Ultimate Diesel, Unleaded 91, Unleaded 95",http://www.bp.co.nz,"125 Bader Drive, Mangere, Auckland",09 275 7279,"",NZ,174.80132,-36.969147,manual,1,2006-09-01T12:51:43Z,2014-11-24T01:56:22Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Auckland,Auckland,Mangere
1032564,BP Connect Coventry,"Service station, Carwash, ATM, Road User Charges, Toilet, Swappa Bottle LPG, AA Smartfuel, Wild Bean Cafe, BP Ultimate Diesel, Ultimate 98, Unleaded 91, Unleaded 95",http://www.bp.co.nz,"127 Wairau Road, Takapuna, Auckland",09 441 2820,24 hours,NZ,174.741795,-36.772917,manual,1,2006-09-01T12:51:43Z,2014-11-24T02:40:02Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Auckland,Auckland,Wairau Valley
1032592,BP Connect Feilding,"Service station, ATM, Wifi, Toilet, Trailer Hire, Swappa Bottle LPG, AA Smartfuel, Wild Bean Cafe, BP Ultimate Diesel, Ultimate 98, Unleaded 91",http://www.bp.co.nz,"134 Kimbolton Road, Feilding",06 323 7885,24 hours,NZ,175.566781,-40.224869,manual,1,2006-09-01T12:51:44Z,2014-11-21T01:36:28Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Manawatu-Wanganui,Feilding,Feilding
1032599,BP Connect Herne Bay,"Service station, Carwash, ATM, Trailer Hire, Toilet, Swappa Bottle LPG, AA Smartfuel, BP Autogas (LPG), Wild Bean Cafe, Autogas, BP Ultimate Diesel, Ultimate 98, Unleaded 91",http://www.bp.co.nz,"136 Jervois Road, Herne Bay, Auckland",09 360 7790,24 hours,NZ,174.738615,-36.845307,number,1,2006-09-01T12:51:44Z,2014-11-24T00:00:29Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Auckland,Auckland,Herne Bay
1032606,BP Connect Howick,"Service station, Carwash, Wifi, Trailer Hire, Toilet, Swappa Bottle LPG, AA Smartfuel, Wild Bean Cafe, Autogas, BP Ultimate Diesel, Ultimate 98, Unleaded 91",http://www.bp.co.nz,"136 Ridge Road, Howick, Auckland",09 533 7790,Mon-Sun 6am-10pm,NZ,174.922291,-36.896197,number,1,2006-09-01T12:51:44Z,2014-11-24T00:53:48Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Auckland,Auckland,Howick
1032627,BP 2go Kaiti,"Service station, Carwash, ATM, Road User Charges, Toilet, AA Smartfuel, BP Autogas (LPG), Autogas, BP Ultimate Diesel, Ultimate 98, Unleaded 91",http://www.bp.co.nz,"146 Wainui Road, Kaiti, Gisborne",06 867 5868,"",NZ,178.036313,-38.671067,number,1,2006-09-01T12:51:45Z,2014-11-25T01:58:00Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Gisborne,Gisborne,Kaiti
1032648,BP 2go Patea,"Service station, Toilet, Workshop, AA Smartfuel, Swappa Bottle LPG, BP Autogas (LPG), Autogas, Unleaded 91, Unleaded 95, Diesel",http://www.bp.co.nz,"153 Egmont Street, Patea",06 273 8540,"",NZ,174.471442,-39.753606,number,1,2006-09-01T12:51:45Z,2014-11-21T00:35:15Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Taranaki,Patea,Patea
1032655,BP Connect Mangere,"Service station, Carwash, ATM, Wifi, Trailer Hire, Toilet, Swappa Bottle LPG, AA Smartfuel, BP Autogas (LPG), Wild Bean Cafe, Autogas, BP Ultimate Diesel, Ultimate 98, Unleaded 91",http://www.bp.co.nz,"154 Coronation Road, Mangere, Auckland",09 622 4310,24 hours,NZ,174.790995,-36.954088,Address,1,2006-09-01T12:51:45Z,2014-11-24T01:46:24Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Auckland,Auckland,Mangere Bridge
1032662,BP 2go Haven Road,"Service station, Carwash, Trailer Hire, Toilet, Road User Charges, AA Smartfuel, BP Autogas (LPG), Autogas, Unleaded 91, Unleaded 95, Diesel",http://www.bp.co.nz,"161 Haven Road, Port Nelson",03 546 8219,"",NZ,173.275876,-41.266719,number,1,2006-09-01T12:51:46Z,2014-11-20T07:36:38Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Nelson,Nelson,Beachville
1032669,BP 2go Highway,"Service station, Carwash, ATM, Workshop, Trailer Hire, Toilet, AA Smartfuel, BP Autogas (LPG), Autogas, Diesel, Unleaded 95, Unleaded 91",http://www.bp.co.nz,"163 Tay Street, Invercargill",03 215 0210,"",NZ,168.357521,-46.413257,number,1,2006-09-01T12:51:46Z,2014-11-25T00:16:17Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Southland,Invercargill,Invercargill
1032676,BP 2go Town Centre,"Service station, Trailer Hire, Toilet, AA Smartfuel, BP Ultimate Diesel, Unleaded 91",http://www.bp.co.nz,"167 Pakuranga Road, Pakuranga, Manukau",09 576 4196,"",NZ,174.871718,-36.911466,manual,1,2006-09-01T12:51:46Z,2014-11-24T00:50:12Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Auckland,Auckland,Pakuranga
1032683,BP Balmoral,"Service station, Trailer Hire, Toilet, Workshop, AA Smartfuel, Swappa Bottle LPG, Diesel, Unleaded 91, Unleaded 95",http://www.bp.co.nz,"170 Balmoral Road, Mt Eden, Auckland",09 630 0222,"",NZ,174.748983,-36.887631,number,1,2006-09-01T12:51:46Z,2014-11-24T01:18:54Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Auckland,Auckland,Mount Eden
1032690,BP 2go Redcliffs,"Service station, Trailer Hire, Toilet, Workshop, AA Smartfuel, BP Autogas (LPG), Autogas, BP Ultimate Diesel, Unleaded 91, Ultimate 98",http://www.bp.co.nz,"170 Main Road, Redcliffs, Christchurch",03 384 7954,"",NZ,172.737806,-43.561463,manual,1,2006-09-01T12:51:46Z,2014-11-20T23:45:31Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Canterbury,Christchurch,Redcliffs
1032704,BP 2go Ellerslie,"Service station, Trailer Hire, Toilet, Swappa Bottle LPG, AA Smartfuel, BP Autogas (LPG), Autogas, BP Ultimate Diesel, Unleaded 91, Unleaded 95",http://www.bp.co.nz,"171 Main Highway, Ellerslie, Auckland",09 579 7240,"",NZ,174.812973,-36.899305,manual,1,2006-09-01T12:51:47Z,2014-11-24T00:56:33Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Auckland,Auckland,Ellerslie
1032725,BP 2go Richmond,"Service station, Carwash, Trailer Hire, Toilet, Workshop, AA Smartfuel, BP Autogas (LPG), Autogas, Unleaded 91, Unleaded 95, Diesel",http://www.bp.co.nz,"177 Queen Street, Richmond, Nelson",03 543 9231,"",NZ,173.187816,-41.342431,number,1,2006-09-01T12:51:47Z,2014-11-20T07:28:47Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Tasman,Richmond,Richmond
1032753,BP 2go Ormond Road,"Service station, Hungry As, Toilet, Workshop, AA Smartfuel, BP Autogas (LPG), BP Ultimate Diesel, Unleaded 91, Unleaded 95",http://number8retailgroup.squarespace.com,"192 Ormond Road, Gisborne",06 868 7675,"",NZ,178.020538,-38.650597,number,1,2006-09-01T12:51:48Z,2017-07-18T07:00:57Z,Number8BP,https://www.facebook.com/bp,GasStation,Gisborne,Gisborne,Mangapapa
