zid,name,tags,website,physical_address,phone,opening_hours,country_code,longitude,latitude,gisprecision,correctly_placed,created_at,updated_at,updated_by,facebook_page,categories,region_1,region_2,region_3
1141320,Sunrise to Sunset Laundromat,"Laundry, fax, photocopy, phone card, ironing, pressing, dry cleaning, Commercial delivery","","151 Manukau Road, Epsom, Auckland",09 623 3062,9 am to 7 pm,NZ,174.775901,-36.880104,Address,1,2009-01-07T16:51:11Z,2013-04-12T15:07:12Z,zenbu,,DryCleaningOrLaundry,Auckland,Auckland,Epsom
1147586,Quality Laundry Services,Laundry,"","12 Lupins Lane, Bromley, Christchurch",Phone/Fax: 03 381 4099.,"",NZ,172.693024,-43.535039,manual,1,2009-02-25T10:32:44Z,2013-04-12T15:00:43Z,zenbu,,DryCleaningOrLaundry,Canterbury,Christchurch,Bromley
1150276,Spooners Drycleaners,Dry cleaning / Repairs / Commercial Laundry,http://www.dry-cleaners.co.nz,"250 Victoria Ave, Wanganui",06 345 6186,7:30 - 5:30,NZ,175.045988,-39.929093,ROOFTOP,1,2009-03-18T17:59:00Z,2013-12-20T21:00:34Z,drycleaner,"",DryCleaningOrLaundry,Manawatu-Wanganui,Wanganui,Wanganui
1155215,Maxwell's Drycleaning Downtown,"Drycleaning, pressing, repairs and shirt service, alterations, wedding gowns & balls, drapes, curtains & blinds, dyeing, flood & fire damage, watch repairs",http://www.maxwellsdrycleaning.co.nz/,"Downtown Shopping Centre, Ground Level, 11-19 Customs Street West, Auckland Central",09 978 5105,"",NZ,174.765835,-36.843636,manual,1,2009-07-13T16:56:35Z,2015-02-05T02:47:19Z,zenbu_out010,https://www.facebook.com/maxwellsdrycleaningchch,DryCleaningOrLaundry,Auckland,Auckland,Auckland Central
1160377,Travellers Laundry,Laundromat,"","456 Karangahape Rd, Newton, Auckland",09 376 6062,"",NZ,174.755182,-36.858669,manual,1,2009-10-05T16:53:06Z,2014-08-29T01:51:38Z,zenbu_out010,"",DryCleaningOrLaundry,Auckland,Auckland,Auckland Central
1164317,TLC Drycleaners Westfield St Lukes,"Drycleaners, Clothes Alterations & Repairs","","Level 1, Store 519, Westfield St Lukes, 80 St Lukes Road, Mount Albert, Auckland",09 846 7275,"",NZ,174.733526,-36.883362,manual,1,2009-10-14T22:33:07Z,2015-03-02T08:56:26Z,zenbu_out010,"",DryCleaningOrLaundry,Auckland,Auckland,Mount Albert
1164435,Richmond Dry Cleaners,Dry Cleaners,"","71 N Avon Rd, Christchurch, Canterbury 8013, New Zealand",(03) 389 5875,"",NZ,172.655881,-43.517419,Address,1,2009-10-23T14:06:30Z,2013-11-22T04:38:12Z,Evpuneq,"",DryCleaningOrLaundry,Canterbury,Christchurch,Richmond
1170970,Sincerity Drycleaning,Drycleaning,"","Level 1, S148, Westfield Chartwell, Corner Hukanui & Comries Roads, Chartwell, Hamilton",07 960 7356,"Mon-Tue-Wed-Fri 7.30am-6pm, Thu 7.30am-7pm, Sat 9am-2pm, Sun 1pm-5pm",NZ,175.278902,-37.750523,manual,1,2009-12-24T13:58:20Z,2015-02-18T12:14:58Z,zenbu_out010,"",DryCleaningOrLaundry,Waikato,Hamilton,Chartwell
1171055,Coromandel Laundromat,Laundromat,"","40 Kapanga Rd, Coromandel",07 866 7636,"",NZ,175.497652,-36.759868,manual,1,2010-01-03T20:26:34Z,2013-04-12T15:03:03Z,zenbu,,DryCleaningOrLaundry,Waikato,Coromandel,Coromandel
1171419,Claris Laundromat,Laundromat,"","125 Hector Sanderson Road, Claris, Great Barrier Island","","",NZ,175.46199,-36.24265,manual,1,2010-01-19T22:20:58Z,2010-01-19T22:20:58Z,zenbu,,DryCleaningOrLaundry,Auckland,,Great Barrier Island (Aotea Island)
1171744,Regal Drycleaners Eastridge,"Auckland's Best Drycleaner, Repairs & Alterations, Fire/Smoke Restoration",http://www.regaldrycleaners.co.nz/,"Eastridge Shopping Centre, 215 Kepa Road, Kohimarama, Auckland",09 521 6066,"Mon-Fri 7.30am-6.30pm, Sat 9am-6.30pm, Sun 9am-4.30pm, Public Holidays 9am-4.30pm (Anzac Day 1pm-4.30pm)",NZ,174.829323,-36.860824,manual,1,2010-01-27T16:48:31Z,2015-04-08T22:47:42Z,zenbu_out010,https://www.facebook.com/regaldrycleanersNZ,DryCleaningOrLaundry,Auckland,Auckland,Mission Bay
1174245,Splish Splash Laundromat,"Laundromat, dry cleaners, keys cut","","92 Dominion Rd, Mt Eden, Auckland",09 630 9204,7 days 8am-6pm,NZ,174.752612,-36.871527,manual,1,2010-04-08T14:40:11Z,2013-04-12T15:08:39Z,zenbu,,DryCleaningOrLaundry,Auckland,Auckland,Mount Eden
1174487,Laundromat,Laundromat,"","579 Fergusson Drive, Upper Hutt","","",NZ,175.045993,-41.129707,manual,1,2010-04-18T20:20:38Z,2010-04-18T22:08:50Z,gcrawford1050,,DryCleaningOrLaundry,Wellington,Upper Hutt,Trentham
1175823,Ellerslie Dry Cleaners,Drycleaning,https://www.ellersliedrycleaners.co.nz,"128C Main Highway, Ellerslie, Auckland",09 579 8828,Mon to Thu 7.30am to 5.30pm Fri 7.30am to 6pm Sat 9am to 1pm,NZ,174.80992,-36.898005,manual,1,2010-05-25T12:40:30Z,2018-11-12T08:03:30Z,Ellersliedrycleaners,"",DryCleaningOrLaundry,Auckland,Auckland,Ellerslie
1180155,Far North Apparelmaster,"Launderette, dry cleaner,laundromat",,110 Commerce St,,,NZ,173.263621,-35.114116,manual,1,2011-02-01T12:41:42Z,2011-02-01T12:41:42Z,van7ter,,DryCleaningOrLaundry,Northland,Kaitaia,Kaitaia
1180985,Plaza Laundromat,"Laundromat, laundry","","100 Queens Road, Panmure, Auckland","","",NZ,174.854917,-36.89968,manual,1,2011-04-19T12:50:23Z,2011-04-19T12:50:23Z,zenbu,"",DryCleaningOrLaundry,Auckland,Auckland,Panmure
1189058,KleenAir Services,"Duct Cleaning, Range Hoods, Ventilation Shafts",http://www.kleenair.co.nz,"South Island, New Zealand",021 344 892,24-7,NZ,0.0,0.0,,3,2011-08-06T16:59:45Z,2011-08-06T16:59:45Z,MattBlair,http://www.facebook.com/pages/KleenAir-Services/200019743390238,HVACBusiness DryCleaningOrLaundry,,,
1189834,Maxwell's Drycleaning Milford,"Drycleaning, pressing, repairs and shirt service, alterations, wedding gowns & balls, drapes, curtains & blinds, dyeing, flood & fire damage, watch repairs",http://www.maxwellsdrycleaning.co.nz/,"Milford Centre, 24 Milford Road, Milford, North Shore, Auckland",09 489 9750,"",NZ,174.766538,-36.771794,manual,1,2011-10-14T09:47:23Z,2015-03-18T11:02:47Z,zenbu_out010,"",DryCleaningOrLaundry,Auckland,Auckland,Milford
1190396,Cannon Consumables - Auckland,"Janitorial & Cleaning Supplies - plastic plates, plastic cups, paper towel dispenser, hand towel dispenser, bulk toilet paper, plastic forks, toilet roll dispenser, cleaning supplies, toilet roll holder, hand sanitiser",http://www.cannonconsumables.co.nz/,"26 Virginia Ave East, Auckland, New Zealand",0800 123 223,"",NZ,174.755104,-36.865661,Address,1,2011-11-17T11:08:00Z,2011-12-22T15:04:29Z,hairylemonnz,"",DryCleaningOrLaundry,Auckland,Auckland,Eden Terrace
1191866,Wash Inn Laundrette,"Wash Inn is a small, cheap and friendly dry cleaner and laundromat / laundrette. We have coin operated machines where you can do your own laundry or we can take care of it for you.","","453b Mt Eden Rd, Mt Eden, Auckland",(03) 638 6626,7 days a week,NZ,174.761543,-36.883178,Address,1,2012-03-20T17:46:27Z,2013-04-12T15:03:21Z,zenbu,"",DryCleaningOrLaundry,Auckland,Auckland,Mount Eden
1193003,Canterbury Linen Services,Providing our clients with top quality linen processing is our priority. We service the accommodation and medical industries throughout the South Island.,https://www.canterburylinen.co.nz,"21 Sylvan Street, Middleton, Christchurch 8024",03 338 2039,"",NZ,172.595457,-43.550566,Address,1,2012-06-25T11:09:25Z,2016-03-30T03:00:29Z,canterburylinen,"",DryCleaningOrLaundry,Canterbury,Christchurch,Hillmorton
1193197,Super Wash Laundromat,"Wash, Dry, Dry Cleaning, Blankets, Sheets, Clothes",http://www.superwashlaundromat.co.nz,"10C Margan Avenue, New Lynn, Auckland",09-826 0267,Open 7 Days. Monday to Friday: 8AM to 7PM. Saturday to Sunday: 7:30AM to 7PM,NZ,174.680631,-36.913062,Address,1,2012-07-23T13:27:37Z,2013-04-12T15:00:52Z,zenbu,http://www.facebook.com/SuperWashNZ,DryCleaningOrLaundry,Auckland,Auckland,New Lynn
1194888,Cleaning Co Heat Pump Cleaning,"Cleaning co offers the following services. Heat Pump Cleaning, Mattress Sanitising, Glass Surface Protection& Restoration, Pet Urine Neutralising, Graffiti Removal, Headlight Restoration Furniture & Automotive Restoration",http://www.cleaningco.co.nz,Dunedin and surrounding area,0800 22 21 88,8am to 6pm or by appointment,NZ,0.0,0.0,,3,2012-09-09T00:27:29Z,2012-09-09T00:27:29Z,CleaningCo,"",HVACBusiness DryCleaningOrLaundry AutomotiveBusiness PetStore,,,
1196186,Easy Key Self Service Laundromats,Laundromat,http://www.diamonddrycleaners.co.nz/,"1112 Heretaunga St West, Stortford Lodge, Hastings","","",NZ,176.831423,-39.631009,manual,1,2013-01-25T14:30:29Z,2013-01-25T14:30:29Z,zenbu,"",DryCleaningOrLaundry,Hawke's Bay,Hastings,Saint Leonards
1196221,Bubbles Laundromat,Auckland's newest and cleanest laundromat with the latest Washers and Dryers,http://www.bubbleslaundromat.co.nz/,"137 Hobson Street, Auckland Central",021 337 622,7 days 6am to Midnight,NZ,174.760305,-36.850588,manual,1,2013-01-29T08:51:39Z,2013-01-29T08:51:39Z,zenbu,"",DryCleaningOrLaundry,Auckland,Auckland,Auckland Central
1196841,Carpet Cleaning Central Auckland,"carpet cleaning, pest control",http://www.carpetcleaningauckland-twt.co.nz/,Auckland,0800 779 988,"",NZ,174.763332,-36.84846,APPROXIMATE,2,2013-04-05T18:57:22Z,2013-04-06T23:02:51Z,zenbu,"",DryCleaningOrLaundry,Auckland,Auckland,Auckland Central
1196842,Jean Johnston,"Auckland Carpet Cleaners specialises in carpet services for residential, industrial, and commercial clients. Clients for Auckland West may call 09 973 0711; Auckland East 0800 77 99 88; Auckland North 09 973 0711; Auckland South 09 973 0711; and Auckland",http://www.carpet-cleaners-auckland.co.nz/,auckland,099730711,"",NZ,0.0,0.0,,3,2013-04-05T20:00:55Z,2013-04-05T20:00:55Z,jeanljohnston,"",DryCleaningOrLaundry,,,
1196948,Easy Key Self Service Laundromat Elgin,Self Service Laundromat,http://www.diamonddrycleaners.co.nz/,"230 Lytton Road, Elgin, Gisborne","","",NZ,177.995942,-38.65676,manual,1,2013-04-19T01:33:20Z,2013-04-19T01:36:13Z,zenbu,"",DryCleaningOrLaundry,Gisborne,Gisborne,Elgin
1196949,Easy Key Self Service Laundromat Kaiti,Self Service Laundromat,http://www.diamonddrycleaners.co.nz/,"Kaiti Mall, Wainui Road, Kaiti","","",NZ,178.045308,-38.675451,manual,1,2013-04-19T01:37:39Z,2013-04-19T01:37:39Z,zenbu,"",DryCleaningOrLaundry,Gisborne,Gisborne,Kaiti
1200428,GroutPro Rodney & North Shore,"Specializing in Cleaning Tiles, Cleaning Grout, Tile and Grout Sealing, Tile and Grout Restoration, Re-grouting, Silicone removal and replacement, Shower Glass Cleaning & Shower Glass Protection. For unequaled professionalism, integrity.",http://www.TileandGroutProfessionals.co.nz,"Phillips Cottage 253 Dairyflat Highway Albany, Auckland 0632",0223-676-632,"",NZ,174.697359,-36.753278,GEOMETRIC_CENTER,0,2013-06-10T14:43:00Z,2013-06-10T14:43:00Z,GroutPro,"",DryCleaningOrLaundry,Auckland,Auckland,Rosedale
1203451,Star Drycleaning and Devonport Alterations,drycleaning drycleaners dry cleaners dry cleaning clothing repairs dressmaking,http://www.devonportalterations.co.nz,"Shop 4, The Arcade, 13 Victoria Road, Devonport, auckland 0624",+64 9 445 1771,mon-fri 8.30-5.30pm sat8.30-1.30 sun closed,NZ,174.799427,-36.824526,APPROXIMATE,2,2013-07-17T10:47:10Z,2013-07-27T03:12:36Z,vrod_rider,"",DryCleaningOrLaundry,Auckland,Auckland,Devonport
1204563,brocklebank drycleaners dunedin,drycleaners,http://www.brocklebanksdrycleaners.co.nz,"191 King Edward Street, South Dunedin, Dunedin",03-455 4065,"mon,tues,wed, 7:45am-5:30pm, thurs, 7:45am-6:00pm, fri, 7:45am-5:00pm, sat, 9:00am-11:00am",NZ,170.498834,-45.894787,ROOFTOP,1,2013-09-29T05:14:15Z,2013-09-29T05:14:15Z,Brocklebanksdrycleaners,"",DryCleaningOrLaundry,Otago,Dunedin,South Dunedin
1204917,Pryors Apparelmaster,Workplace Rental and Laundry Supplies,http://www.pryorsapparelmaster.co.nz/,98 Takanini School Road,09 2697061,"",NZ,174.920424,-37.031347,ROOFTOP,1,2013-11-14T21:40:00Z,2013-11-14T21:40:00Z,FramingWorkshop,"",DryCleaningOrLaundry,Auckland,Takanini,Takanini
1205268,La Nuova Drycleaners,Dry cleaning / Repairs / Commercial Laundry,http://www.lanuova.co.nz,"65 Eliot Street, New Plymouth",06 759 1040,7:30 - 5:30,NZ,174.084048,-39.057502,manual,1,2013-12-20T21:04:49Z,2015-10-24T03:53:24Z,burgla,"",DryCleaningOrLaundry,Taranaki,New Plymouth,New Plymouth
1206763,QED Total Clean,"carpet and curtain cleaning, upholstery cleaning, window and home cleaning servics",http://www.qedtotalclean.co.nz,6 shetland street auckland,080 073 3868,9-5:30,NZ,174.639398,-36.922095,ROOFTOP,1,2014-06-26T22:34:50Z,2014-06-26T22:34:50Z,swordfox1,"",DryCleaningOrLaundry,Auckland,Auckland,Glen Eden
1208181,Liquid Self Service Laundromat,Self Service Laundromat,http://liquidlaundromats.co.nz/,"466 High Street, Lower Huttt",04 569 5792,5am - 11pm 7 days,NZ,174.911564,-41.205288,manual,1,2014-08-08T00:50:57Z,2015-11-14T19:33:36Z,burgla,"",DryCleaningOrLaundry,Wellington,Lower Hutt,Hutt Central
1208526,Fifty Five Minute Drycleaners and Pressers,Drycleaning services,"","146 Lambton Quay, Wellington",04 499 9863,"",NZ,174.775643,-41.281008,ROOFTOP,1,2014-08-15T00:11:29Z,2014-08-15T00:11:29Z,zenbu_out010,"",DryCleaningOrLaundry,Wellington,Wellington,Wellington Central
1209868,Little Laundromat,Laundry services,"","39 Beach Road, Kaikoura","","",NZ,173.679038,-42.396066,ROOFTOP,1,2014-09-23T23:22:03Z,2014-09-23T23:22:03Z,zenbu_out010,"",DryCleaningOrLaundry,Canterbury,Kaikoura,Kaikoura
1210046,Spongehero Ltd,"Cleaning Services, Cleaning Booking, Cleaners, Home Cleaning, Office Cleaning",http://www.spongehero.co.nz/,"Mount Wellington, Auckland 1060",+6492585060,8.30am - 4.30pm,NZ,174.841154,-36.912189,APPROXIMATE,2,2014-09-30T05:33:32Z,2014-10-04T11:21:15Z,KennethHo,https://www.facebook.com/spongehero.nz,DryCleaningOrLaundry,Auckland,Auckland,Mount Wellington
1212564,Looksmart Alterations Manukau City,"Clothing alterations and repairs. Tailor, Bridal Alterations, Pants Shortening, Take In Waist, Resize, Restyle, Suit Alterations. Dry Cleaner.",https://www.looksmartalterations.com.au/,"Shop S241, Westfield Manukau City, Cnr Great South and Wiri Station Road, Manukau City",09 263 5716,"Mon-Tue-Wed-Fri 9am-6pm, Thu 9am-9pm, Sat 9am-5.30pm, Sun 10am-6pm",NZ,174.881225,-36.991294,manual,1,2014-12-22T04:00:38Z,2016-05-10T05:47:38Z,Looksmart_Alterations,https://www.facebook.com/LookSmartAlterations,ClothingStore DryCleaningOrLaundry,Auckland,Auckland,Manukau
1214754,Maxwell's Drycleaning Edgeware,"Drycleaning, pressing, repairs and shirt service, alterations, wedding gowns & balls, drapes, curtains & blinds, dyeing, flood & fire damage, watch repairs",http://www.maxwellsdrycleaning.co.nz/,"1027 Colombo Street, Edgeware, Christchurch 8014",03 379 7435,"Mon-Fri 7.30am-5.30pm, Sat 9am-12am",NZ,172.636314,-43.515499,ROOFTOP,1,2015-02-04T03:30:54Z,2015-02-04T03:30:54Z,zenbu_out010,https://www.facebook.com/maxwellsdrycleaningchch,DryCleaningOrLaundry,Canterbury,Christchurch,Saint Albans
1214755,Maxwell's Drycleaning Barrington,"Drycleaning, pressing, repairs and shirt service, alterations, wedding gowns & balls, drapes, curtains & blinds, dyeing, flood & fire damage, watch repairs",http://www.maxwellsdrycleaning.co.nz/,"Shop 32b Barrington Mall, 256 Barrington Street, Spreydon, Christchurch 8024",03 337 9412,"Mon-Tue-Wed 8am-5.30pm, Thu-Fri 8am-6pm, Sat 10am-1pm",NZ,172.61997,-43.55665,manual,1,2015-02-04T03:34:05Z,2015-02-04T03:34:05Z,zenbu_out010,https://www.facebook.com/maxwellsdrycleaningchch,DryCleaningOrLaundry,Canterbury,Christchurch,Spreydon
1214756,Maxwell's Drycleaning Merivale,"Drycleaning, pressing, repairs and shirt service, alterations, wedding gowns & balls, drapes, curtains & blinds, dyeing, flood & fire damage, watch repairs",http://www.maxwellsdrycleaning.co.nz/,"Shop 35, Merivale Mall, 189 Papanui Road, Merivale, Christchurch",03 355 5490,"Mon-Tue-Wed 8am-5.30pm, Thu-Fri 8am-6pm, Sat 10am-1pm",NZ,172.621248,-43.51247,ROOFTOP,1,2015-02-04T03:35:57Z,2015-03-13T01:25:18Z,zenbu_out010,https://www.facebook.com/maxwellsdrycleaningchch,DryCleaningOrLaundry,Canterbury,Christchurch,Merivale
1214757,Maxwell's Drycleaning Fendalton,"Drycleaning, pressing, repairs and shirt service, alterations, wedding gowns & balls, drapes, curtains & blinds, dyeing, flood & fire damage, watch repairs",http://www.maxwellsdrycleaning.co.nz/,"Shop 5, Fendalton Mall, 19-23 Memorial Avenue, Fendalton, Christchurch 8053",03 351 5056,"Mon-Fri 8am-5.30pm, Sat 10am-1pm",NZ,172.588403,-43.517685,ROOFTOP,1,2015-02-04T03:37:54Z,2015-04-09T08:31:29Z,zenbu_out010,https://www.facebook.com/maxwellsdrycleaningchch,DryCleaningOrLaundry,Canterbury,Christchurch,Ilam
1214758,Maxwell's Drycleaning Birmingham Drive,"Drycleaning, pressing, repairs and shirt service, alterations, wedding gowns & balls, drapes, curtains & blinds, dyeing, flood & fire damage, watch repairs",http://www.maxwellsdrycleaning.co.nz/,"20 Birmingham Drive, Middleton, Christchurch",03 366 0082,Mon-Fri 7.30am-5.30pm,NZ,172.590159,-43.543339,ROOFTOP,1,2015-02-04T03:39:30Z,2015-02-04T03:39:30Z,zenbu_out010,https://www.facebook.com/maxwellsdrycleaningchch,DryCleaningOrLaundry,Canterbury,Christchurch,Middleton
1215604,Quick Fit Alterations,"Clothing Alterations & Repairs, Dry cleaning agent","","Level 1, Store 220, Westfield Riccarton, 129 Riccarton Rd, Riccarton, Christchurch",03 348 4924,"",NZ,172.597555,-43.53006,manual,1,2015-02-26T21:46:40Z,2015-02-26T21:46:40Z,zenbu_out010,"",LocalBusiness DryCleaningOrLaundry,Canterbury,Christchurch,Riccarton
1215865,NZ Drycleaners New Lynn,"Premier Dry Cleaning, duvet & furnishings, repairs & alterations, bridal, launder, press, blanket",http://www.nzdrycleaners.co.nz/,"Shop 305, LynnMall, 3058 Great North Road, New Lynn, Auckland",09 827 2849,"",NZ,174.685209,-36.90786,ROOFTOP,1,2015-03-09T04:58:22Z,2015-03-09T04:58:22Z,zenbu_out010,"",DryCleaningOrLaundry,Auckland,Auckland,New Lynn
1216024,Starchi & Starchi Drycleanables,Drycleaning services,"","Shop 18, Highland Park Shopping Centre, 505 Pakuranga Road, Highland Park, Auckland",09 535 5760,"",NZ,174.907682,-36.898547,ROOFTOP,1,2015-03-12T04:41:57Z,2015-03-12T04:41:57Z,zenbu_out010,"",DryCleaningOrLaundry,Auckland,Auckland,Highland Park
1216179,Manurewa Drycleaners,"Drycleaning, repairs and alterations, wedding dresses, duvets, bed covers, sheep skins","","Shop 25, Southmall, 185 Great South Road, Manurewa, Auckland 2102",09 268 2688,"",NZ,174.896576,-37.022444,ROOFTOP,1,2015-03-17T22:21:37Z,2015-03-17T22:21:37Z,zenbu_out010,"",DryCleaningOrLaundry,Auckland,Auckland,Manurewa
