"name","physical_address","phone","email","description","website","Source","latitude","longitude","categories","countrry_code","updated_at"
"Pedlars Motel","2A Arney Street, Paeroa","0800 579 645","stay@pedlarsmotel.nz","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.3820984","175.6719305","TA-SpecialServices","NZ","1/01/2020"
"Mexicana","71 Puke Road, Paeroa","07 862 8216","casa.mexicana@slingshot.co.nz","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.368213","175.661143","TA-SpecialServices","NZ","1/01/2020"
"The Refinery","5 Willoughby Street, Paeroa","07 862 7678","info@the-refinery.co.nz","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.3793191","175.6704719","TA-SpecialServices","NZ","1/01/2020"
"Te Aroha Motel","108 Whitaker Street, Te Aroha","07 884 9417","tearohamotel@xtra.co.nz","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.5444326","175.7137776","TA-SpecialServices","NZ","1/01/2020"
"The Nunnery","16 Burgess Street, Te Aroha","027 305 9285","accommodation@thenunnery.co.nz","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.5402218","175.7117057","TA-SpecialServices","NZ","1/01/2020"
"Aroha Mountain Lodge","5-7 Boundary Street, The Domain, Te Aroha","07 884 8134","greg.linda@xtra.co.nz","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.543233","175.715212","TA-SpecialServices","NZ","1/01/2020"
"Te Aroha Holiday Park","217 Stanley Road, Te Aroha","027 221 2139","terarohacamp@gmail.com","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.566376","175.7195616","TA-SpecialServices","NZ","1/01/2020"
"House with No Nails","80 Waghorn Rd Wardville","07 888 091","Jen@housewithnonails.co.nz","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.708663","175.78123","TA-SpecialServices","NZ","1/01/2020"
"A Place in the Paddock","266B Tower Road, Matamata","027 488 4131","peria@xtra.co.nz","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.8025301","175.8087921","TA-SpecialServices","NZ","1/01/2020"
"25 Tower","25 Tower Road, Matamata","021 272 3289","shaandgra@gmail.com","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.8119868","175.7849443","TA-SpecialServices","NZ","1/01/2020"
"Tahi Totara","1 Totara Avenue, Matamata","027 499 8152","s.wilcox@xtra.co.nz","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.8144906","175.781361","TA-SpecialServices","NZ","1/01/2020"
"Kiwi Cottage","York Place, Matamata","021 0268 3156","kiwicottagematamata@gmail.com","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.8143717","175.7632466","TA-SpecialServices","NZ","1/01/2020"
"Kaiaua Hotel","943 East Coast Road, Kaiaua","09 232 2717","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.1092153","175.2962955","TA-SpecialServices","NZ","1/01/2020"
"Kaiaua Fish and Chips","East Coast Road, Kaiaua","092 32 2776 ","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.1095132","175.2962609","TA-SpecialServices","NZ","1/01/2020"
"Miranda Hot Springs","595 Front Miranda Rd, Miranda","07 867 3055 ","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.2075464","175.3319126","TA-SpecialServices","NZ","1/01/2020"
"Waitakaruru Country Store","659 State Highway 25, Waitakaruru","07 867 3314 ","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.2350035","175.3946837","TA-SpecialServices","NZ","1/01/2020"
"Bugger Caf?","659 State Highway 25, Waitakaruru","021 109 1290 ","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.2163574","175.4853712","TA-SpecialServices","NZ","1/01/2020"
"Grahamstown Bar and Diner","700 Pollen Street, Thame","07 868 6008","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.1360201","175.5410043","TA-SpecialServices","NZ","1/01/2020"
"Kopu Caf?","101 Kopu Road, Kopu","07 868 5926","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.1879392","175.5703221","TA-SpecialServices","NZ","1/01/2020"
"The Matatoki Cheese Barn","4 Wainui Road, Matatoki ","07 868 1284 ","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.2129136","175.6179967","TA-SpecialServices","NZ","1/01/2020"
"Puriri Coachhouse","8865 Paeroa Kopu Road, Puriri","07 868 1066","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.229717","175.6369761","TA-SpecialServices","NZ","1/01/2020"
"The Convienent Cow","8102 State Highway 26, Hikutaia","07 862 4500","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.292286","175.6551","TA-SpecialServices","NZ","1/01/2020"
"One3One Restaurant","131 Normanby Road, Paeroa","07 862 7272","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.3816235","175.672066","TA-SpecialServices","NZ","1/01/2020"
"Courtyard Caf?","72 Normanby Road, Paeroa","07 862 7046","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.3801317","175.6704206","TA-SpecialServices","NZ","1/01/2020"
"The Refinery","5 Willoughby Street, Paeroa","07 862 7678","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.3793191","175.6704719","TA-SpecialServices","NZ","1/01/2020"
"Villa Nine","9 Lawrence Avenue, Te Aroha","07 884 9696","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.5419647","175.711921","TA-SpecialServices","NZ","1/01/2020"
"Ironique","159 Whitaker Street, Te Aroha","07 884 8489","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.5434918","175.7123487","TA-SpecialServices","NZ","1/01/2020"
"Domain Cottage Caf?","Te Aroha Domain 2-1B Whitaker Street, Te Aroha","07 884 9222","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.5443354","175.7163861","TA-SpecialServices","NZ","1/01/2020"
"Austins Bar and Bistro","174 Whitaker Street, Te Aroha","07 8847574","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.542686","175.71221","TA-SpecialServices","NZ","1/01/2020"
"The Old Forge","9 Alexandra Road, Te Aroha West.","07 884 8338","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.5880697","175.7332838","TA-SpecialServices","NZ","1/01/2020"
"The Good Merchant","44 Broadway, Matamata ","07 880 9561","","Dine and Drink","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.808966","175.772571","TA-SpecialServices","NZ","1/01/2020"
"Miranda Holiday Park","595 Front Miranda Road, Miranda","0800 833 144","stay@mirandaholidaypark.co.nz","Hot Pools","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.207276","175.3332852","TA-SpecialServices","NZ","1/01/2020"
"Miranda Hot Springs","595 Front Miranda Road, Miranda","07 867 3055","","Hot Pools","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.2075464","175.3319126","TA-SpecialServices","NZ","1/01/2020"
"Te Aroha Swimzone","Te Aroha Domain, Te Aroha","07 884 4498","","Hot Pools","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.544875","175.7166759","TA-SpecialServices","NZ","1/01/2020"
"Te Aroha Spas","Te Aroha Domain, Te Aroha","07 884 8717","","Hot Pools","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.5438478","175.7158818","TA-SpecialServices","NZ","1/01/2020"
"Te Aroha Holiday Park","217 Stanley Road, Te Aroha","027 221 2139","terarohacamp@gmail.com","Hot Pools","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.566376","175.7195616","TA-SpecialServices","NZ","1/01/2020"
"Swim Zone Matamata","10 Meura St, Matamata ","07 888 4899","","Hot Pools","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.8120569","175.7756756","TA-SpecialServices","NZ","1/01/2020"
"JollyBikes","96 Richmond St, Thames","021 0816 5000","o?ce@jollybikes.co.nz","Bike Servicing","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.1425466","175.5419391","TA-SpecialServices","NZ","1/01/2020"
"Waihi Sports and Cycles","95 Seddon Street, Waihi","07 863 8418","waihisports@vodafone.co.nz","Bike Servicing","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.3912019","175.8405106","TA-SpecialServices","NZ","1/01/2020"
"Te Aroha Motel","108 Whitaker Street, Te Aroha","07 884 9417","tearohamotel@xtra.co.nz","Bike Servicing","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.5444326","175.7137776","TA-SpecialServices","NZ","1/01/2020"
"TCA Self Service Laundromat ","511 Queen Street, Thames ","07 868 8540","","Laundromat","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.1376732","175.5399578","TA-SpecialServices","NZ","1/01/2020"
"Te Aroha Laundromat","14 Lawrence Ave, Te Aroha","027 663 0100","","Laundromat","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.5422782","175.7107613","TA-SpecialServices","NZ","1/01/2020"
"Sincerity Apparelmaster ","42 Broadway, Matamata ","07 888 8696","","Laundromat","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.8088017","175.7722064","TA-SpecialServices","NZ","1/01/2020"
"Paeroa Laundromat & Hot Showers ","3 Mackay Street, Paeroa ","027 5056591","pureoracabins@gmail.com","Laundromat","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.380309","175.671178","TA-SpecialServices","NZ","1/01/2020"
"Pureora Cabins","Pureora","027 315 7572","","Pureora Cabins in the Village","","https://www.timbertrail.co.nz/page/ta2020/","-38.6946883","175.5612099","TA-SpecialServices","NZ","1/01/2020"
"Timber Trail Lodge","Piropiro","0800 885 6343","?stay@timbertraillodge.co.nz","Pizza 1pm - 4pm. ","https://www.timbertraillodge.co.nz/","https://www.timbertrail.co.nz/page/ta2020/","-38.635909","175.4944343","TA-SpecialServices","NZ","1/01/2020"
"Epic Cycle Adventures","Ongarue","022 023 7958","","","","https://www.timbertrail.co.nz/page/ta2020/","-38.7212312","175.3025768","TA-SpecialServices","NZ","1/01/2020"
"Timber Trail Centre","Ongarue","021 082 66 60 3","","","https://timbertrailcentre.com","https://www.timbertrail.co.nz/page/ta2020/","-38.715371","175.284304","TA-SpecialServices","NZ","1/01/2020"
"Timber Trail Transport","Ongarue","?0800 785 500","?info@timbertrailshuttles.com","","https://timbertrailshuttles.com","https://www.timbertrail.co.nz/page/ta2020/","-38.7212312","175.3025768","TA-SpecialServices","NZ","1/01/2020"
